ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV2,-2.639031369,2.74868573,-0.960106621,0.338730764,
ASV8,-0.176148887,3.541877945,-0.049733189,0.960409062,
ASV9,0.971474113,0.983600066,0.987671867,0.325093428,0.905309277
ASV10,5.484946669,,,,
ASV14,0.438660961,0.632546941,0.69348365,0.48920641,0.941629169
ASV23,-4.930498227,,,,
ASV26,-4.023196967,2.066278555,-1.947073863,0.053617502,
ASV29,-4.776510856,,,,
ASV31,-3.252311001,3.293195413,-0.987585185,0.325135738,
ASV36,3.032671924,2.381424203,1.27346985,0.20505599,
ASV38,0.326455337,1.191582696,0.273967839,0.784531204,
ASV42,0.226921904,2.232758705,0.101632972,0.919199928,
ASV43,-0.425555988,2.737460353,-0.155456494,0.876695383,
ASV44,-14.63650173,25204.78445,-0.000580703,0.999537529,
ASV54,-6.265829393,,,,
ASV56,-3.962108783,,,,
ASV60,-2.092169843,0.737273421,-2.837712283,0.005250864,0.062477416
ASV63,0.294148218,2.822557596,0.104213362,0.917155849,
ASV65,6.1396774,2.112829579,2.905902805,0.004285893,
ASV67,-4.80326948,,,,
ASV71,6.288602328,,,,
ASV75,-5.094169424,1.451663571,-3.509194229,0.000612536,
ASV87,-17.31901525,89001.37835,-0.000194593,0.999845027,
ASV90,-5.463785698,,,,
ASV93,-0.225207462,3.326714509,-0.06769666,0.946128015,
ASV94,-7.027102666,,,,
ASV99,1.190951729,3.031040413,0.392918459,0.695004076,
ASV101,-17.46163085,238772.1097,-7.31E-05,0.999941759,
ASV104,4.493405421,1.969174173,2.281873022,0.024073057,
ASV105,-18.89587969,161131.497,-0.00011727,0.999906607,
ASV107,1.164007363,2.386616669,0.487722799,0.626543225,
ASV110,-16.91303267,,,,
ASV112,-12.63965299,22883.964,-0.000552337,0.999560121,
ASV114,-4.51109535,,,,
ASV134,-18.86328309,88186.96025,-0.000213901,0.99982965,
ASV135,-2.269340971,,,,
ASV143,-0.351484101,1.129762565,-0.311113248,0.756197989,0.941629169
ASV150,5.890594641,,,,
ASV155,-3.943409548,,,,
ASV174,8.00623014,,,,
ASV175,-1.232645025,1.673402234,-0.736610123,0.462647135,0.941629169
ASV186,23.89714654,,,,
ASV189,-4.732091696,,,,
ASV191,-17.84508376,331393.9584,-5.38E-05,0.999957115,
ASV192,-4.390633696,,,,
ASV193,1.33930088,0.833003931,1.607796591,0.110233434,0.60339513
ASV195,2.284146388,2.812745324,0.812070104,0.418191674,
ASV196,-5.625625086,,,,
ASV200,4.895443783,,,,
ASV202,-4.060740951,,,,
ASV205,-3.758902711,0.985720736,-3.813354609,0.000208324,
ASV206,-4.394391894,,,,
ASV210,6.214102707,1.524620189,4.07583656,7.81E-05,
ASV213,-17.12728402,80337.31788,-0.000213192,0.999830214,
ASV217,0.215515001,3.644052102,0.059141581,0.952927448,
ASV224,1.00493147,2.295810227,0.437724102,0.662291025,
ASV238,-0.570357306,1.308480072,-0.435893001,0.663615764,
ASV240,-5.447591054,,,,
ASV244,-14.212592,,,,
ASV246,0.057485465,2.37097868,0.024245459,0.980692886,
ASV256,2.201954352,2.789922823,0.789252783,0.431358545,
ASV258,-18.27532103,92570.52808,-0.000197421,0.999842775,
ASV265,3.770366242,1.663787903,2.266133944,0.02504612,
ASV274,-17.70043719,460541.0151,-3.84E-05,0.999969391,
ASV282,-14.78527208,,,,
ASV288,-6.282501799,0.908466207,-6.915504119,1.73E-10,5.13E-10
ASV298,-3.847759903,1.505639822,-2.555564649,0.011717684,
ASV301,0.321747535,1.739782612,0.184935482,0.853559252,
ASV304,-4.391128569,,,,
ASV309,0.040455096,1.578291482,0.025632208,0.979588829,0.994620707
ASV318,-3.243421049,,,,
ASV321,-6.450721987,,,,
ASV326,-3.361417855,,,,
ASV329,3.886971389,,,,
ASV331,-4.884113322,1.341549148,-3.640651801,0.000387322,
ASV333,-15.54238162,,,,
ASV339,-2.178523131,2.471605665,-0.881420188,0.3796687,
ASV341,-1.120717391,1.893788009,-0.591786084,0.554990953,
ASV348,-3.812177362,,,,
ASV349,-15.12871669,43486.61765,-0.000347894,0.999722938,
ASV350,-4.789501631,,,,
ASV354,3.543535211,6.998050874,0.50636031,0.613435838,
ASV355,1.650453897,2.135634714,0.772816571,0.440991974,
ASV360,-2.154659605,1.620095125,-1.329958699,0.185791197,0.721018098
ASV362,-0.259055824,2.501775012,-0.103548809,0.917682228,
ASV364,2.013726248,2.756019344,0.730664773,0.466259543,
ASV367,-5.598223142,,,,
ASV378,3.405155584,2.041229443,1.66818855,0.097613422,
ASV381,-5.7413545,,,,
ASV382,-4.060663097,2.32808115,-1.74421029,0.083415472,
ASV387,3.415891627,1.297682324,2.632301885,0.009476436,0.099952838
ASV389,-3.768872763,,,,
ASV390,3.298277766,2.73394217,1.206418264,0.229781869,
ASV392,1.55514238,1.208751607,1.286569028,0.200462851,0.743417042
ASV397,-16.31609948,,,,
ASV399,-1.186809693,1.670117616,-0.710614439,0.478558175,
ASV405,4.77210709,1.372011561,3.478182856,0.000681286,
ASV407,-4.103187994,1.607199275,-2.55300513,0.011800027,
ASV409,0.851390405,1.020817782,0.834027796,0.405749629,0.92005211
ASV410,-23.52961111,855794.8936,-2.75E-05,0.999978103,
ASV412,5.919858461,,,,
ASV413,-15.49565876,,,,
ASV424,1.37253063,2.940511988,0.466765868,0.641425409,
ASV427,-17.76513256,,,,
ASV430,0.932354613,0.796448059,1.170640825,0.24382082,0.789853955
ASV439,5.78135431,1.726156736,3.349263824,0.001052503,
ASV444,4.016834769,1.495216512,2.686456936,0.008135762,
ASV445,-0.104530886,1.059053442,-0.098702182,0.921522234,0.980905998
ASV448,-0.80950835,2.062815782,-0.392428814,0.695364903,0.941629169
ASV456,-0.505141953,1.443193226,-0.350016854,0.726875592,
ASV458,-20.92747301,726759.9735,-2.88E-05,0.999977067,
ASV466,-4.72881289,1.508461374,-3.134858453,0.002113139,
ASV467,-5.783104927,,,,
ASV468,-4.089626925,1.994844383,-2.050098223,0.042304885,
ASV478,-23.57594079,1967962.388,-1.20E-05,0.999990459,
ASV479,-4.589470868,1.081877366,-4.242135949,4.10E-05,0.000811809
