Genus,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
Pseudoramibacter,0.942123181269493,0.744313235971086,1.26576169244166,0.207794713610159,0.47138508691343
Riemerella,0.0221620991721564,0.366432416068257,0.0604807276876621,0.951862874953725,0.989149617326409
Desulfobulbus,-4.58049559011092,1.18504306428295,-3.86525665451872,0.0001722230373656,
Kluyvera,-6.9325953517089,,,,
Acinetobacter,-18.9731688732871,,,,
Desulfomicrobium,-2.28101137930342,1.08367610838452,-2.10488296425009,0.0371685251058543,
Weeksellaceae_[G-1],0.947844802532062,0.867350061655307,1.09280536710072,0.276440018169504,
Cardiobacterium,0.131784890115622,0.697522754712613,0.188932746960948,0.850431381210773,0.951655441116236
Selenomonas,1.22021354847761,0.276014882628961,4.42082519919011,2.01368251567439e-05,0.0003687175878565
Lachnospiraceae_[G-2],0.0036691957139926,0.251664013621293,0.0145797393166989,0.988389148349357,0.998863320126727
Filifactor,-1.63478340806742,0.428094461408809,-3.81874458895716,0.0002042642731924,0.0023723540562119
Prevotella,-0.275684199424056,0.1222890454024,-2.25436545454173,0.0257960372425289,0.129499214350995
Arachnia,1.53007140975265,0.459708989299995,3.32834781430424,0.0011282006676791,0.0093602915904855
Bacteroidetes_[G-3],-1.00019239111053,0.955988484686838,-1.04623895280305,0.297334297022019,0.556144848561919
Haemophilus,0.372292582429762,0.277670330944436,1.34077191885603,0.182263001938619,0.449986290191799
Cryptobacterium,2.39782427867797,1.66183620584993,1.44287642201875,0.15138879948773,
Saccharibacteria_(TM7)_[G-3],-0.509372795820648,0.294288103166849,-1.73086438200954,0.0857778366860037,0.313034833624651
Erysipelotrichaceae_[G-1],-0.0179100656515263,0.234849180039029,-0.0762619892841433,0.939324409854931,0.989149617326409
Rothia,-0.357299603908751,0.264321782714267,-1.35175996559842,0.178729478407366,0.449986290191799
Bacteroidetes_[G-7],-16.7642242752318,193457.608474814,-8.66558023093433e-05,0.999930987546882,
Lachnospiraceae_[G-10],-15.1824432108539,,,,
Streptococcus,0.35526980336719,0.138823829565024,2.55914135548886,0.0116034805302481,0.0786982986170159
Peptostreptococcaceae_[G-6],-1.54652376281607,0.622044322110768,-2.4861954491736,0.0141412661937341,0.0806981446047416
Porphyromonas,-0.410690949177255,0.267033319072684,-1.53797642407864,0.126412385129198,0.381932261569491
Lactobacillus,0.192534748044515,1.00577790967751,0.191428690361921,0.848479501888883,0.951655441116236
Corynebacterium,-0.240477112364666,0.276852962706891,-0.868609495861757,0.386613803948521,0.618825443919166
Bacteroidetes_[G-5],-0.0609068838145199,0.978427388704654,-0.0622497739920741,0.950456681210957,0.989149617326409
Kocuria,1.0147923902149,,,,
Moraxella,-4.75967661037674,,,,
Butyrivibrio,0.199641793627757,0.813516047045888,0.245406091684011,0.806517463817362,0.951655441116236
Propionibacteriaceae_[G-2],-19.6751711591593,,,,
Pseudoleptotrichia,-0.371681216110376,0.751660900069972,-0.494479912518766,0.62177699189237,0.823287359530915
Enterobacter,2.3956380217753,,,,
Acidipropionibacterium,0.384952040229158,0.930855141419703,0.413546665963562,0.679867225268055,
Agrobacterium,-0.780413077998415,,,,
Mobiluncus,-0.874136935144973,1.256259767643,-0.695824985930282,0.48774349939968,0.742937846838434
Fannyhessea,-4.89317410315307,1.714209524328,-2.85447842501709,0.0049967569549984,
Olsenella,0.331530650253227,0.545038686698235,0.608269941830352,0.544038095455287,0.768408188578904
Lachnospiraceae_[G-7],0.992463266902721,0.999298577643389,0.993159891454277,0.322422064526952,
