ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV2,23.26746767,,,,
ASV8,-1.927278023,,,,
ASV9,0.686246861,,,,
ASV10,3.353893692,,,,
ASV14,0.709643839,0.873009433,0.812870757,0.417875614,0.851364422
ASV23,-0.660451848,,,,
ASV26,2.193516597,,,,
ASV29,-0.563626402,,,,
ASV31,-2.219649883,,,,
ASV36,-2.682781693,,,,
ASV38,-0.248319695,,,,
ASV42,0.165296705,,,,
ASV43,1.829657785,,,,
ASV44,-18.70402313,,,,
ASV54,0.729445502,,,,
ASV56,1.921182422,,,,
ASV60,-1.461113956,0.807289566,-1.809900706,0.072772819,0.414917052
ASV63,1.419081519,,,,
ASV65,1.215717744,,,,
ASV67,-1.079924151,,,,
ASV71,1.226474076,,,,
ASV75,-3.999898965,,,,
ASV87,-19.36268027,,,,
ASV90,-2.684572957,,,,
ASV93,-1.661020561,,,,
ASV94,-1.197380869,,,,
ASV99,2.430487087,,,,
ASV101,-21.80988954,,,,
ASV104,-2.012217231,,,,
ASV105,-19.93468434,,,,
ASV107,-0.141616418,1.665082874,-0.085050672,0.93236052,
ASV110,-18.18953508,,,,
ASV112,-18.84175386,,,,
ASV114,-2.437992727,,,,
ASV134,-20.05033846,,,,
ASV135,22.26297112,,,,
ASV143,-0.128278167,1.122561387,-0.114272741,0.909209439,0.991293937
ASV150,-2.633587902,,,,
ASV155,2.204883509,,,,
ASV174,4.065370304,,,,
ASV175,-3.261652231,1.139197197,-2.863114691,0.004939385,0.06711979
ASV186,21.53696077,,,,
ASV189,0.161870548,,,,
ASV191,-19.48882604,,,,
ASV192,-1.22745075,,,,
ASV193,1.90335783,1.585979832,1.200114776,0.232420022,0.722435052
ASV195,-0.795036912,,,,
ASV196,0.023313772,,,,
ASV200,-3.650499699,,,,
ASV202,-0.839609273,,,,
ASV205,5.045612946,,,,
ASV206,2.254313018,,,,
ASV210,1.030713787,,,,
ASV213,-17.83165458,,,,
ASV217,1.035961007,,,,
ASV224,2.573412545,,,,
ASV238,-1.818369492,1.009136363,-1.80190662,0.074029467,
ASV240,0.727026302,,,,
ASV244,-17.43138629,,,,
ASV246,-0.485156733,,,,
ASV256,-2.705885947,,,,
ASV258,-19.81327421,,,,
ASV265,0.079603405,,,,
ASV274,-20.08787679,,,,
ASV282,-19.56996981,,,,
ASV288,-5.239790333,,,,
ASV298,-0.755256426,,,,
ASV301,0.205845513,,,,
ASV304,1.311785597,,,,
ASV309,1.949710779,1.531871036,1.272764308,0.205521862,0.721775469
ASV318,0.811847616,,,,
ASV321,-22.1799313,,,,
ASV326,1.72215669,,,,
ASV329,-6.348555515,,,,
ASV331,1.260073922,,,,
ASV333,-18.02926365,,,,
ASV339,2.966062742,,,,
ASV341,-2.081133923,,,,
ASV349,-21.07258758,,,,
ASV350,1.923839966,,,,
ASV354,-5.647830301,,,,
ASV355,6.153993945,,,,
ASV360,-4.365850607,1.442004348,-3.027626521,0.003008083,0.047670069
ASV362,-2.496071516,,,,
ASV364,0.598695878,,,,
ASV367,-2.413384661,,,,
ASV378,-2.076364737,,,,
ASV381,0.018977267,,,,
ASV382,3.686306534,,,,
ASV387,-4.637648387,,,,
ASV389,0.657464491,,,,
ASV390,1.491754696,,,,
ASV392,-3.150487602,0.935882772,-3.366327169,0.001019208,0.023022171
ASV397,-18.35605532,,,,
ASV399,-1.591177197,1.127123379,-1.411715191,0.160579243,
ASV405,-3.543587225,,,,
ASV407,-3.519149283,,,,
ASV409,-1.048002045,,,,
ASV410,-21.68852316,,,,
ASV412,2.314716728,,,,
ASV413,-34.73035122,,,,
ASV424,2.854574527,,,,
ASV427,-20.12444403,,,,
ASV430,0.642783808,0.756622656,0.849543432,0.397242999,0.835900552
ASV439,4.911683542,,,,
ASV444,-2.982243275,,,,
ASV445,0.07930785,1.144596267,0.06928893,0.944873079,0.992180005
ASV448,-0.191278327,,,,
ASV456,3.290898408,,,,
ASV458,-18.77416951,,,,
ASV466,0.38241309,,,,
ASV467,1.392001759,,,,
ASV468,3.406628743,,,,
ASV478,-20.62969106,,,,
ASV479,-2.060101182,,,,
ASV487,-18.54936223,,,,
ASV502,-21.10897581,,,,
ASV503,-8.537131133,,,,
ASV505,-0.283713251,0.603675698,-0.469976267,0.63921098,0.95014982
ASV508,0.104083341,,,,
ASV510,-19.35648299,,,,
ASV512,-1.695143782,,,,
ASV522,-0.326410097,,,,
ASV523,-3.07257918,,,,
ASV527,2.309616559,,,,
ASV528,-0.731635234,,,,
ASV530,0.766491455,,,,
ASV531,2.057005775,,,,
ASV552,24.19582615,,,,
ASV562,1.142533608,,,,
ASV569,-4.435322175,,,,
ASV574,-1.831788025,,,,
ASV575,-17.70195861,,,,
ASV582,-1.554415911,1.297943034,-1.197599487,0.233394612,0.722435052
ASV584,-2.03472774,,,,
ASV585,-18.95392074,,,,
ASV589,-1.24678302,,,,
ASV616,0.428420974,0.487969777,0.877966206,0.381687821,0.835900552
ASV619,0.342952086,0.593944749,0.577414123,0.564723818,0.919028871
ASV635,-1.645320602,,,,
ASV637,0.635170741,0.984290692,0.645308084,0.51993931,0.89603904
ASV643,4.331851014,,,,
ASV644,-0.469983016,,,,
ASV645,-1.313417072,1.523274852,-0.862232492,0.39025127,
ASV646,1.596433457,,,,
ASV647,4.911424006,,,,
ASV657,-20.31353158,,,,
ASV658,-0.735115168,,,,
ASV670,-0.865708849,,,,
ASV684,-15.65528069,,,,
ASV691,-1.243493511,,,,
ASV699,1.708468003,,,,
ASV710,0.34231186,0.95226816,0.359470026,0.719864944,0.969817912
ASV716,-2.22319833,,,,
ASV725,1.399275331,,,,
ASV729,-1.10398283,,,,
ASV730,-21.49397094,,,,
ASV731,-33.59168221,,,,
ASV734,-0.585254216,,,,
ASV740,-24.02768277,,,,
ASV742,-17.99446518,,,,
ASV752,2.987389438,,,,
ASV755,0.325344943,,,,
ASV763,2.825901879,,,,
ASV765,-2.275356187,1.196267024,-1.902047069,0.059522706,0.376375038
ASV778,-3.775263776,,,,
ASV783,-1.131489765,,,,
ASV789,-0.035862713,,,,
ASV790,-0.352274582,,,,
ASV793,-4.457127593,,,,
ASV801,0.911179095,,,,
ASV804,-20.01320397,,,,
ASV810,5.935022737,,,,
ASV814,-0.828181141,1.279424278,-0.647307664,0.518648994,0.89603904
ASV817,-5.955296165,,,,
ASV828,3.774132004,,,,
ASV835,-3.882333449,,,,
ASV836,1.320910185,,,,
ASV854,-4.377586486,,,,
ASV869,-0.195785444,,,,
ASV871,2.060144963,,,,
ASV872,-3.483984987,,,,
ASV884,-3.43107499,,,,
ASV889,-1.329444593,0.862952998,-1.5405759,0.126009831,0.532861112
ASV895,-38.01046911,,,,
ASV898,-17.52588876,,,,
ASV899,-17.350904,,,,
ASV901,0.62907938,0.413189945,1.522494406,0.130473079,0.543512296
ASV903,-2.393058328,,,,
ASV905,-3.484722523,,,,
ASV912,1.050472678,,,,
ASV913,-18.21883308,,,,
ASV925,2.441143257,,,,
ASV929,-0.752723552,,,,
ASV938,-5.18201613,,,,
ASV939,0.543509229,,,,
ASV942,-1.585456901,1.552887872,-1.020973201,0.309287441,0.803621739
ASV952,-20.24409566,,,,
ASV954,-0.659915627,0.5739844,-1.149710039,0.252512128,0.759550604
ASV961,2.358908417,,,,
ASV963,1.357134795,,,,
ASV964,3.051268497,,,,
ASV967,-1.037707057,,,,
ASV973,1.484867982,,,,
ASV976,-0.732315447,,,,
ASV980,-2.708962214,,,,
ASV981,-1.988581628,,,,
ASV986,-24.16189864,,,,
ASV997,-0.211618357,,,,
ASV1001,3.862384611,,,,
ASV1004,-18.37866682,,,,
ASV1006,-0.106177598,,,,
ASV1009,2.457694686,,,,
ASV1013,-2.456458665,,,,
ASV1014,-17.106124,,,,
ASV1019,-0.757916879,,,,
ASV1021,-19.85823756,,,,
ASV1025,-1.787708355,2.107671103,-0.84819133,0.397992496,0.835900552
ASV1026,-16.10053719,,,,
ASV1047,2.431656939,,,,
ASV1050,-19.57822167,,,,
ASV1067,-6.180093056,,,,
ASV1077,-0.549758045,0.740598805,-0.742315599,0.459322952,0.860504771
ASV1080,-19.97407689,,,,
ASV1081,2.699734207,,,,
ASV1086,-0.444398716,0.777549796,-0.571537307,0.568686949,0.919028871
ASV1088,-16.17223489,,,,
ASV1091,-2.192484502,,,,
ASV1102,-0.993535997,,,,
ASV1107,-1.449241256,,,,
ASV1114,-0.433844669,,,,
