ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV326,2.588232984,,,,
ASV742,-18.19462655,,,,
ASV836,4.122766363,,,,
ASV954,-0.66033264,0.402541458,-1.640409024,0.10353888,0.327990489
ASV1025,-1.524748907,1.317908031,-1.156946366,0.249592143,0.459260794
ASV1585,-1.135936774,0.542775063,-2.092831546,0.038471109,0.157578177
ASV1636,3.464644072,,,,
ASV1773,1.935850765,,,,
ASV1863,-3.136988396,,,,
ASV2004,-20.25087833,,,,
ASV2329,0.405689786,,,,
ASV2490,-19.64356343,,,,
ASV2780,-22.02180409,,,,
ASV2930,0.119451688,0.746484015,0.160019084,0.873135087,0.945604878
ASV3012,2.622819833,,,,
ASV3088,-0.690821823,,,,
ASV3202,1.839854784,,,,
ASV3330,1.453767101,,,,
ASV3494,1.438846981,,,,
ASV3607,-2.05434171,,,,
ASV3611,2.465778855,0.882350119,2.794558308,0.006052332,
ASV3678,-2.010981748,,,,
ASV3815,1.884896266,1.345827156,1.400548546,0.16392958,0.419507704
ASV3926,0.263147792,0.369623731,0.711934245,0.477887309,0.688285715
ASV4171,1.653149803,,,,
ASV4287,0.542423,,,,
ASV4326,-1.273208566,,,,
ASV4341,2.103518654,,,,
ASV4911,2.637296856,2.268782425,1.162428282,0.247368136,
ASV5019,0.483768536,,,,
ASV5088,1.171061576,0.401288189,2.918255775,0.004203869,0.022879707
ASV5214,-1.439677235,,,,
ASV5563,1.133819388,0.958080755,1.183427786,0.23897877,0.459260794
ASV6075,-0.655648105,,,,
ASV6145,-1.188215396,0.335144258,-3.545384911,0.000559903,0.005096522
ASV6321,-4.548475068,,,,
ASV6401,-2.058116468,,,,
ASV6708,2.199309681,1.287920881,1.70764347,0.090288415,
ASV6859,-0.455765912,,,,
ASV6949,-6.272177613,,,,
ASV7005,-5.267233153,1.156895995,-4.552901193,1.28E-05,
ASV7165,-3.877249193,,,,
ASV7206,-18.34710644,,,,
ASV7418,-18.8166169,,,,
ASV7487,-0.447769687,1.53108378,-0.292452766,0.770445521,
ASV7506,-15.36858775,,,,
ASV7727,0.490051829,,,,
ASV7766,-2.632863294,,,,
ASV8198,-18.80022162,,,,
ASV8402,-2.762447793,,,,
ASV8517,2.187971716,,,,
ASV8717,5.160606499,,,,
ASV9048,-0.068939795,1.570663508,-0.043892148,0.965063328,0.964990374
ASV9089,-16.4150821,,,,
ASV9369,6.45225577,,,,
ASV9541,-0.304051609,1.034078414,-0.294031483,0.769241822,0.908503637
ASV9879,4.260846944,,,,
ASV10032,3.07006597,,,,
ASV10235,0.181575399,,,,
ASV10265,-0.828923985,,,,
ASV10567,5.000981245,0.770702998,6.488856614,2.03E-09,
ASV10589,-1.978805819,,,,
ASV10810,-0.60933585,0.820012454,-0.743081214,0.458884794,0.688285715
ASV11081,0.241087275,0.620742931,0.38838505,0.698419293,0.907050438
