Genus,p,FDR,adj_p,adj_FDR,control_carriage,escc_carriage
Capnocytophaga,9.4391406641794e-05,0.0014172820946657,0.0001071077772823,0.001071077772823,78.18181818181819,79.16666666666666
Filifactor,0.0002042642731924,0.0023723540562119,0.000539398379397,0.002696991896985,90.9090909090909,41.66666666666667
Lautropia,0.0083173695485968,0.0615963225515358,0.0018613350293979,0.006204450097993,60.909090909090914,60.416666666666664
Selenomonas,2.01368251567439e-05,0.0003687175878565,0.0053618918711645,0.011724163809521999,69.0909090909091,62.5
Arachnia,0.0011282006676791,0.0093602915904855,0.0082069146666654,0.011724163809521999,57.27272727272727,54.166666666666664
Streptococcus,0.0116034805302481,0.0786982986170159,0.0078087517853793,0.011724163809521999,100.0,100.0
Bacteroides,0.0002369995150629,0.0023723540562119,0.0068183506345402,0.011724163809521999,30.909090909090907,18.75
Leptotrichia,0.013658890369795,0.0806981446047416,0.0147391821039603,0.018423977629950374,98.18181818181819,85.41666666666666
Campylobacter,0.0062924786968671,0.0516042728482234,0.0312396661713222,0.034710740190358,94.54545454545455,91.66666666666666
Peptostreptococcaceae_[G-6],0.0141412661937341,0.0806981446047416,0.259950488272762,0.259950488272762,72.72727272727273,27.083333333333332
Pseudoramibacter,0.207794713610159,0.47138508691343,0.0152763751489239,,31.818181818181817,33.33333333333333
Riemerella,0.951862874953725,0.989149617326409,0.546985744493063,,66.36363636363637,43.75
Cardiobacterium,0.850431381210773,0.951655441116236,0.429631615041591,,23.636363636363637,18.75
Lachnospiraceae_[G-2],0.988389148349357,0.998863320126727,0.697453341565433,,78.18181818181819,25.0
Prevotella,0.0257960372425289,0.129499214350995,0.103291875692443,,98.18181818181819,100.0
Bacteroidetes_[G-3],0.297334297022019,0.556144848561919,0.371164719540241,,18.181818181818183,8.333333333333332
Haemophilus,0.182263001938619,0.449986290191799,0.424180535138196,,90.0,91.66666666666666
Saccharibacteria_(TM7)_[G-3],0.0857778366860037,0.313034833624651,0.0912798578622888,,86.36363636363636,54.166666666666664
Erysipelotrichaceae_[G-1],0.939324409854931,0.989149617326409,0.608522722791718,,17.272727272727273,18.75
Rothia,0.178729478407366,0.449986290191799,0.142332530860587,,100.0,87.5
Porphyromonas,0.126412385129198,0.381932261569491,0.389987905157651,,98.18181818181819,89.58333333333334
Lactobacillus,0.848479501888883,0.951655441116236,0.0745960193568537,,11.818181818181818,22.916666666666664
Corynebacterium,0.386613803948521,0.618825443919166,0.969400299193698,,93.63636363636364,70.83333333333334
Bacteroidetes_[G-5],0.950456681210957,0.989149617326409,0.85290684006372,,34.54545454545455,8.333333333333332
Butyrivibrio,0.806517463817362,0.951655441116236,0.779687196744106,,40.909090909090914,20.833333333333336
Pseudoleptotrichia,0.62177699189237,0.823287359530915,0.78115932598542,,82.72727272727273,39.58333333333333
Olsenella,0.544038095455287,0.768408188578904,0.943789663539349,,74.54545454545455,45.83333333333333
Saccharibacteria_(TM7)_[G-1],0.143904223315838,0.408346555271557,0.196600538993975,,96.36363636363636,81.25
Limosilactobacillus,0.729476158475093,0.925072680395495,0.428369112874992,,10.0,18.75
Catonella,0.297233117689079,0.556144848561919,0.0637909608261461,,84.54545454545455,60.416666666666664
Granulicatella,0.262816614675495,0.528661484863249,0.415819864977765,,98.18181818181819,93.75
Oribacterium,0.962841784069674,0.989149617326409,0.982484432139771,,100.0,91.66666666666666
Peptostreptococcaceae_[G-4],0.626495544394737,0.823287359530915,0.834675353703117,,59.09090909090909,20.833333333333336
Clostridiales_[F-1][G-1],0.515126614665021,0.755895002076866,0.979353299421833,,31.818181818181817,14.583333333333334
Lancefieldella,0.129667463620139,0.381932261569491,0.0839507318201314,,97.27272727272728,91.66666666666666
Treponema,0.330633878591961,0.573618313448666,0.192260117679374,,77.27272727272727,41.66666666666667
Lachnoanaerobaculum,0.126087194047548,0.381932261569491,0.410067892670088,,100.0,79.16666666666666
Schaalia,0.645573385991588,0.833826850546489,0.986507786887918,,100.0,97.91666666666666
Fusobacterium,0.230305746243866,0.488961193640674,0.269430479274639,,99.0909090909091,89.58333333333334
Tannerella,0.389340459717915,0.618825443919166,0.353985928444462,,86.36363636363636,64.58333333333334
Saccharibacteria_(TM7)_[G-4],0.469281370364098,0.731274695760383,0.481490071779705,,26.36363636363636,2.083333333333333
Peptostreptococcaceae_[G-8],0.042739343963607,0.191169809115653,0.127236769449059,,15.454545454545453,0.0
Shuttleworthia,0.0584587862814675,0.234667395816181,0.627844953984082,,36.36363636363637,45.83333333333333
Ruminococcaceae_[G-1],0.0659546503487035,0.251668008089772,0.0081564861105047,,58.18181818181818,29.166666666666668
Alloprevotella,0.0513825719223782,0.217566731441138,0.044837258684611,,96.36363636363636,93.75
Bacteroidales_[G-2],0.239665332151192,0.494944388582993,0.254588033329096,,36.36363636363637,47.91666666666667
Absconditabacteria_(SR1)_[G-1],0.201399854919975,0.47138508691343,0.693702704607407,,58.18181818181818,29.166666666666668
Ruminococcaceae_[G-2],0.555760617091156,0.770508019256796,0.663652261013718,,72.72727272727273,45.83333333333333
Kingella,0.162931181844908,0.430227761066309,0.834436147520902,,54.54545454545454,52.083333333333336
Peptostreptococcaceae_[G-7],0.209600184444176,0.47138508691343,0.789808752350657,,40.0,25.0
Saccharibacteria_(TM7)_[G-6],0.960146075543047,0.989149617326409,0.754962646368052,,60.0,27.083333333333332
Neisseria,0.572070877908133,0.778804734128107,0.483180379691935,,93.63636363636364,81.25
Parvimonas,0.150447140737223,0.411422681738561,0.0743519672869409,,88.18181818181819,85.41666666666666
Mogibacterium,0.774346966906172,0.936173228071232,0.0507937869712597,,30.0,27.083333333333332
Peptostreptococcaceae_[G-5],0.105288706752808,0.36764456324499,0.340399881911124,,60.0,16.666666666666664
Veillonellaceae_[G-1],0.218787439059859,0.477850794276099,0.502467502118529,,26.36363636363636,27.083333333333332
Peptoniphilaceae_[G-1],0.526584320745895,0.757935236303915,0.780180976888134,,30.909090909090907,12.5
Peptostreptococcus,0.119844610699344,0.381932261569491,0.0381504699830752,,94.54545454545455,79.16666666666666
Mycoplasma,0.952648458153862,0.989149617326409,0.961524492435428,,31.818181818181817,33.33333333333333
Abiotrophia,0.820023264832236,0.951655441116236,0.156949957355066,,41.81818181818181,31.25
Actinomyces,0.0215680827442588,0.115763122340048,0.360149885061677,,97.27272727272728,83.33333333333334
Fretibacterium,0.843463515530341,0.951655441116236,0.254809803696346,,57.27272727272727,20.833333333333336
Mitsuokella,0.998865438804341,0.998863320126727,0.797198402690562,,39.09090909090909,20.833333333333336
Aggregatibacter,0.350202150490024,0.580859261321511,0.603264348848285,,59.09090909090909,37.5
Saccharibacteria_(TM7)_[G-2],0.305877619257371,0.556144848561919,0.65351010191771,,15.454545454545453,18.75
Sneathia,0.31634761948617,0.561669493941657,0.0627812182805114,,60.909090909090914,31.25
Johnsonella,0.740576496833933,0.925072680395495,0.227951241395715,,34.54545454545455,12.5
