ASV,p,FDR,adj_p,adj_FDR,Genus,Species,control_carriage,escc_carriage
ASV6145,0.005253157,0.015910713,0.000559903,0.0027995150000000002,Fusobacterium,periodonticum,87.27272727272727,60.416666666666664
ASV5088,0.001554956,0.008650953,0.004203869,0.0105096725,Fusobacterium,nucleatum_subsp._polymorphum,52.72727272727272,62.5
ASV3815,0.00074369,0.007776331,0.16392958,0.27321596666666664,Fusobacterium,,23.636363636363637,35.41666666666667
ASV3926,0.013182455,0.033588662,0.477887309,0.477887309,Fusobacterium,nucleatum_subsp._animalis,63.63636363636363,64.58333333333334
ASV10810,0.034620562,0.076533786,0.458884794,0.477887309,Fusobacterium,nucleatum_subsp._vincentii,36.36363636363637,22.916666666666664
ASV954,0.636671349,0.809328505,0.10353888,,Fusobacterium,nucleatum_subsp._vincentii,55.45454545454545,33.33333333333333
ASV1025,0.16728715,0.288720874,0.249592143,,Fusobacterium,nucleatum_subsp._nucleatum,32.72727272727273,12.5
ASV1585,0.06298889,0.121624515,0.038471109,,Fusobacterium,periodonticum,57.27272727272727,29.166666666666668
ASV2930,0.379206955,0.587419791,0.873135087,,Fusobacterium,nucleatum_subsp._animalis,40.0,31.25
ASV5563,0.513270336,0.717005135,0.23897877,,Fusobacterium,periodonticum,25.454545454545453,8.333333333333332
ASV9048,0.731580292,0.852881777,0.965063328,,Fusobacterium,periodonticum,20.0,16.666666666666664
ASV9541,0.940112853,0.940000598,0.769241822,,Fusobacterium,periodonticum,30.909090909090907,16.666666666666664
ASV10567,0.002689119,0.010390785,2.03e-09,,Fusobacterium,,16.363636363636363,35.41666666666667
ASV11081,0.809732042,0.871621998,0.698419293,,Fusobacterium,nucleatum_subsp._vincentii,57.27272727272727,33.33333333333333
